date,year,month,month_name,solar_radiation,cloud_amount,soil_wetness,rainfall,pressure,temp_max,temp_skin,wind_speed_max,wind_speed_corrected
2017-01-01,2017,1,Jan,16.94,68.58,0.53,2.09,99.81,32.3,25.17,5.88,4.61
2017-02-01,2017,2,Feb,21.37,45.87,0.5,2.16,99.87,35.46,26.35,6.04,4.29
2017-03-01,2017,3,Mar,22.02,53.18,0.62,6.57,99.68,34.23,26.82,5.09,2.92
2017-04-01,2017,4,Apr,23.31,35.02,0.55,2.19,99.55,37.67,29.33,4.56,3.3
2017-05-01,2017,5,May,19.4,81.25,0.56,4.56,99.47,36.62,28.77,7.42,4.71
2017-06-01,2017,6,Jun,20.95,70.44,0.51,0.77,99.47,34.73,28.15,7.68,6.75
2017-07-01,2017,7,Jul,20.81,68.19,0.47,0.49,99.47,36.4,28.77,6.72,6.2
2017-08-01,2017,8,Aug,20.03,79.71,0.48,2.78,99.38,34.58,28.47,7.48,6.32
2017-09-01,2017,9,Sep,20.37,73.38,0.52,2.64,99.52,34.66,27.85,7.23,5.44
2017-10-01,2017,10,Oct,18.06,74.94,0.55,5.61,99.5,34.46,27.58,6.53,4.7
2017-11-01,2017,11,Nov,14.64,81.27,0.71,7.38,99.5,31.65,25.34,7.25,4.15
2017-12-01,2017,12,Dec,16.83,54.74,0.75,3.98,99.76,29.91,24.57,5.1,3.98
2018-01-01,2018,1,Jan,17.56,57.64,0.62,0.9,99.71,31.31,24.34,5.19,4.1
2018-02-01,2018,2,Feb,20.51,51.14,0.51,2.38,99.78,35.38,26.78,5.51,4.5
2018-03-01,2018,3,Mar,21.41,53.07,0.52,2.41,99.63,36.53,28.14,6.11,3.62
2018-04-01,2018,4,Apr,22.14,66.92,0.54,4.69,99.5,36.3,29.18,4.32,2.6
2018-05-01,2018,5,May,18.25,86.49,0.77,11.54,99.41,35.12,26.92,7.01,3.93
2018-06-01,2018,6,Jun,20.18,82.86,0.76,1.49,99.45,30.6,26.3,8.11,7.04
2018-07-01,2018,7,Jul,20.27,75.56,0.59,0.39,99.46,33.2,26.88,7.75,6.91
2018-08-01,2018,8,Aug,19.28,83.45,0.5,0.99,99.48,34.95,27.6,8.76,7.03
2018-09-01,2018,9,Sep,21.6,61.28,0.46,2.34,99.54,37.65,28.95,7.16,4.78
2018-10-01,2018,10,Oct,16.26,85.24,0.7,8.29,99.64,33.48,26.12,4.75,3.05
2018-11-01,2018,11,Nov,14.42,77.66,0.82,8.55,99.71,30.53,25.14,5.47,3.66
2018-12-01,2018,12,Dec,15.31,67.35,0.79,3.64,99.78,29.53,24.27,5.12,3.96
2019-01-01,2019,1,Jan,18.68,49.45,0.67,0.43,99.94,30.91,24.12,5.22,4.6
2019-02-01,2019,2,Feb,19.17,52.46,0.58,3.3,99.85,34.33,26.66,5.63,4.19
2019-03-01,2019,3,Mar,23.99,36.79,0.45,0.36,99.74,40.07,29.85,5.71,3.69
2019-04-01,2019,4,Apr,22.38,66.75,0.42,3.26,99.54,40.27,31.93,6.59,2.26
2019-05-01,2019,5,May,22.57,46.3,0.44,0.21,99.46,38.27,30.75,6.73,5.25
2019-06-01,2019,6,Jun,20.47,80.9,0.4,0.87,99.41,36.97,29.85,7.9,6.95
2019-07-01,2019,7,Jul,19.54,78.08,0.35,0.64,99.44,36.97,29.75,7.54,6.37
2019-08-01,2019,8,Aug,19.32,84.72,0.48,3.3,99.54,35.46,27.98,7.9,6.93
2019-09-01,2019,9,Sep,18.68,79.93,0.54,4.79,99.63,35.95,27.42,6.59,5.11
2019-10-01,2019,10,Oct,17.41,76.07,0.78,13.27,99.65,32.9,25.9,3.99,2.7
